 INFO  Accepting connections at http://localhost:3001
 HTTP  9/7/2026 9:18:14 AM 127.0.0.1 GET /
 HTTP  9/7/2026 9:18:14 AM 127.0.0.1 Returned 200 in 31 ms
 HTTP  9/7/2026 9:18:44 AM 127.0.0.1 GET /
 HTTP  9/7/2026 9:18:44 AM 127.0.0.1 Returned 200 in 8 ms
 HTTP  9/7/2026 9:18:45 AM 127.0.0.1 GET /
 HTTP  9/7/2026 9:18:45 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  9/7/2026 9:18:50 AM 127.0.0.1 GET /3fa_pharmacy_login/code.html
 HTTP  9/7/2026 9:18:50 AM 127.0.0.1 Returned 301 in 2 ms
 HTTP  9/7/2026 9:18:50 AM 127.0.0.1 GET /3fa_pharmacy_login/code
 HTTP  9/7/2026 9:18:50 AM 127.0.0.1 Returned 200 in 16 ms
 HTTP  9/7/2026 9:18:51 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:18:51 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2026 9:18:51 AM 127.0.0.1 GET /api/v1/auth/demo-accounts
 HTTP  9/7/2026 9:18:51 AM 127.0.0.1 Returned 404 in 3 ms
 HTTP  9/7/2026 9:19:25 AM 127.0.0.1 GET /3fa_pharmacy_login/code
 HTTP  9/7/2026 9:19:25 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2026 9:19:25 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:19:25 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2026 9:20:24 AM 127.0.0.1 GET /global_neural_dashboard_v1/code
 HTTP  9/7/2026 9:20:24 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  9/7/2026 9:20:24 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:20:24 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  9/7/2026 9:22:34 AM 127.0.0.1 GET /
 HTTP  9/7/2026 9:22:34 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2026 9:22:34 AM 127.0.0.1 GET /favicon.ico
 HTTP  9/7/2026 9:22:34 AM 127.0.0.1 Returned 404 in 3 ms
 HTTP  9/7/2026 9:22:35 AM 127.0.0.1 GET /prediction_command_center_v1/code.html
 HTTP  9/7/2026 9:22:35 AM 127.0.0.1 Returned 301 in 1 ms
 HTTP  9/7/2026 9:22:35 AM 127.0.0.1 GET /prediction_command_center_v1/code
 HTTP  9/7/2026 9:22:35 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 GET /3fa_pharmacy_login/code.html
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 Returned 301 in 1 ms
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 GET /3fa_pharmacy_login/code
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:22:36 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 GET /global_neural_dashboard_v1/code.html
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 Returned 301 in 6 ms
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 GET /global_neural_dashboard_v1/code
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:22:48 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  9/7/2026 9:24:16 AM 127.0.0.1 GET /global_neural_dashboard_v1/code
 HTTP  9/7/2026 9:24:16 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  9/7/2026 9:24:16 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:24:16 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  9/7/2026 9:24:17 AM 127.0.0.1 GET /global_neural_dashboard_v1/code
 HTTP  9/7/2026 9:24:17 AM 127.0.0.1 Returned 304 in 9 ms
 HTTP  9/7/2026 9:24:17 AM 127.0.0.1 GET /shared/neuro-api.js
 HTTP  9/7/2026 9:24:17 AM 127.0.0.1 Returned 304 in 2 ms
